game,day,theme,tweet,telegram,email,meme
chain-loot,1,launch,chain-loot/tweets/day-001.txt,chain-loot/telegram/day-001.md,chain-loot/emails/day-001.md,
chain-loot,2,tip,chain-loot/tweets/day-002.txt,chain-loot/telegram/day-002.md,chain-loot/emails/day-002.md,
chain-loot,3,feature,chain-loot/tweets/day-003.txt,chain-loot/telegram/day-003.md,chain-loot/emails/day-003.md,chain-loot/memes/meme-001.svg
chain-loot,4,community,chain-loot/tweets/day-004.txt,chain-loot/telegram/day-004.md,chain-loot/emails/day-004.md,
chain-loot,5,challenge,chain-loot/tweets/day-005.txt,chain-loot/telegram/day-005.md,chain-loot/emails/day-005.md,
chain-loot,6,meme,chain-loot/tweets/day-006.txt,chain-loot/telegram/day-006.md,chain-loot/emails/day-006.md,chain-loot/memes/meme-002.svg
chain-loot,7,weekend,chain-loot/tweets/day-007.txt,chain-loot/telegram/day-007.md,chain-loot/emails/day-007.md,
chain-loot,8,launch,chain-loot/tweets/day-008.txt,chain-loot/telegram/day-008.md,chain-loot/emails/day-008.md,
chain-loot,9,tip,chain-loot/tweets/day-009.txt,chain-loot/telegram/day-009.md,chain-loot/emails/day-009.md,chain-loot/memes/meme-003.svg
chain-loot,10,feature,chain-loot/tweets/day-010.txt,chain-loot/telegram/day-010.md,chain-loot/emails/day-010.md,
chain-loot,11,community,chain-loot/tweets/day-011.txt,chain-loot/telegram/day-011.md,chain-loot/emails/day-011.md,
chain-loot,12,challenge,chain-loot/tweets/day-012.txt,chain-loot/telegram/day-012.md,chain-loot/emails/day-012.md,chain-loot/memes/meme-004.svg
chain-loot,13,meme,chain-loot/tweets/day-013.txt,chain-loot/telegram/day-013.md,chain-loot/emails/day-013.md,
chain-loot,14,weekend,chain-loot/tweets/day-014.txt,chain-loot/telegram/day-014.md,chain-loot/emails/day-014.md,
chain-loot,15,launch,chain-loot/tweets/day-015.txt,chain-loot/telegram/day-015.md,chain-loot/emails/day-015.md,chain-loot/memes/meme-005.svg
chain-loot,16,tip,chain-loot/tweets/day-016.txt,chain-loot/telegram/day-016.md,chain-loot/emails/day-016.md,
chain-loot,17,feature,chain-loot/tweets/day-017.txt,chain-loot/telegram/day-017.md,chain-loot/emails/day-017.md,
chain-loot,18,community,chain-loot/tweets/day-018.txt,chain-loot/telegram/day-018.md,chain-loot/emails/day-018.md,chain-loot/memes/meme-006.svg
chain-loot,19,challenge,chain-loot/tweets/day-019.txt,chain-loot/telegram/day-019.md,chain-loot/emails/day-019.md,
chain-loot,20,meme,chain-loot/tweets/day-020.txt,chain-loot/telegram/day-020.md,chain-loot/emails/day-020.md,
chain-loot,21,weekend,chain-loot/tweets/day-021.txt,chain-loot/telegram/day-021.md,chain-loot/emails/day-021.md,chain-loot/memes/meme-007.svg
chain-loot,22,launch,chain-loot/tweets/day-022.txt,chain-loot/telegram/day-022.md,chain-loot/emails/day-022.md,
chain-loot,23,tip,chain-loot/tweets/day-023.txt,chain-loot/telegram/day-023.md,chain-loot/emails/day-023.md,
chain-loot,24,feature,chain-loot/tweets/day-024.txt,chain-loot/telegram/day-024.md,chain-loot/emails/day-024.md,chain-loot/memes/meme-008.svg
chain-loot,25,community,chain-loot/tweets/day-025.txt,chain-loot/telegram/day-025.md,chain-loot/emails/day-025.md,
chain-loot,26,challenge,chain-loot/tweets/day-026.txt,chain-loot/telegram/day-026.md,chain-loot/emails/day-026.md,
chain-loot,27,meme,chain-loot/tweets/day-027.txt,chain-loot/telegram/day-027.md,chain-loot/emails/day-027.md,chain-loot/memes/meme-009.svg
chain-loot,28,weekend,chain-loot/tweets/day-028.txt,chain-loot/telegram/day-028.md,chain-loot/emails/day-028.md,
chain-loot,29,launch,chain-loot/tweets/day-029.txt,chain-loot/telegram/day-029.md,chain-loot/emails/day-029.md,
chain-loot,30,tip,chain-loot/tweets/day-030.txt,chain-loot/telegram/day-030.md,chain-loot/emails/day-030.md,chain-loot/memes/meme-010.svg
chain-loot,31,feature,chain-loot/tweets/day-031.txt,chain-loot/telegram/day-031.md,chain-loot/emails/day-031.md,
chain-loot,32,community,chain-loot/tweets/day-032.txt,chain-loot/telegram/day-032.md,chain-loot/emails/day-032.md,
chain-loot,33,challenge,chain-loot/tweets/day-033.txt,chain-loot/telegram/day-033.md,chain-loot/emails/day-033.md,chain-loot/memes/meme-011.svg
chain-loot,34,meme,chain-loot/tweets/day-034.txt,chain-loot/telegram/day-034.md,chain-loot/emails/day-034.md,
chain-loot,35,weekend,chain-loot/tweets/day-035.txt,chain-loot/telegram/day-035.md,chain-loot/emails/day-035.md,
chain-loot,36,launch,chain-loot/tweets/day-036.txt,chain-loot/telegram/day-036.md,chain-loot/emails/day-036.md,chain-loot/memes/meme-012.svg
chain-loot,37,tip,chain-loot/tweets/day-037.txt,chain-loot/telegram/day-037.md,chain-loot/emails/day-037.md,
chain-loot,38,feature,chain-loot/tweets/day-038.txt,chain-loot/telegram/day-038.md,chain-loot/emails/day-038.md,
